spcode,rep,organ,biomass
BRDI2,45D-3,root,0.758
AVBA,45D-5,root,0.992
NAPU4,45D-3,root,0.867
BRDI2,45D-1,root,0.359
NAPU4,45D-1,root,0.545
SPAI,3M-3,root,0.258
NAPU4,45D-2,root,0.158
SPAI,5M-1,root,0.169
ELGL,45D-4,root,0.344
SPAI,5M-5,root,0.566
BRDI2,3M-3,repro,4.156
BRDI2,45D-4,repro,0.583
BRDI2,4M-2,repro,0.804
BRDI2,3M-3,repro,0.076
BRDI2,45D-2,repro,0.413
AVBA,45D-5,repro,0.046
BRDI2,45D-1,repro,0.396
BRDI2,45D-5,repro,0.291
BRDI2,45D-3,repro,0.37
BRDI2,3M-1,root,5.976
AVBA,5M-4,root,13.883
SEPU8,5M-1,root,12.501
AVBA,2M-5,root,8.738
SEPU8,5M-2,root,13.286
BRDI2,3M-4,root,3.717
AVBA,5M-2,root,7.93
VUMY,5M-2,root,5.089
SEPU8,4M-3,root,6.176
VUMY,2M-1,root,3.921
AVBA,5M-3,root,7.839
AVBA,3M-1,root,5.399
SEPU8,4M-4,root,10.004
BRDI2,3M-2,root,9.882
VUMY,3M-3,root,3.215
SEPU8,4M-5,root,34.286
BRDI2,4M-3,root,1.969
AROL,5M-1,root,0.424
AROL,3M-2,root,0.086
AROL,2M-5,root,0.325
VUMY,2M-5,root,0.382
AROL,4M-3,root,0.219
AROL,3M-4,root,0.18
BRDI2,2M-5,root,1.358
VUMY,4M-4,root,0.398
VUMY,2M-5,stem,1.922
AROL,4M-3,stem,0.719
AROL,3M-2,stem,0.209
AROL,2M-5,stem,0.484
AROL,3M-4,stem,0.76
AROL,5M-1,stem,0.901
VUMY,2M-1,stem,2.727
SEPU8,5M-2,stem,8.892
BRDI2,3M-1,stem,15.624
BRDI2,3M-4,stem,10.132
VUMY,4M-4,stem,1.867
BRDI2,3M-2,stem,10.407
SEPU8,4M-4,stem,9.1
BRDI2,2M-5,stem,2.468
BRDI2,4M-3,stem,3.019
SEPU8,4M-3,stem,4.061
AVBA,3M-1,stem,3.908
SEPU8,4M-5,stem,30.178
SEPU8,5M-1,stem,12.651
AVBA,5M-4,stem,21.914
AVBA,5M-3,stem,6.524
VUMY,5M-2,stem,8.254
AVBA,5M-2,stem,5.975
AVBA,2M-5,stem,10.374
VUMY,3M-3,stem,5.47
BRDI2,4M-3,leaf,2.797
SEPU8,5M-1,leaf,7.986
SEPU8,4M-5,leaf,17.461
SEPU8,4M-3,leaf,3.251
VUMY,5M-2,leaf,3.775
VUMY,3M-3,leaf,5.273
AVBA,5M-3,leaf,7.001
BRDI2,2M-5,leaf,1.287
AVBA,2M-5,leaf,8.513
AVBA,5M-4,leaf,13.871
SEPU8,5M-2,leaf,6.617
AVBA,5M-2,leaf,4.626
VUMY,2M-1,leaf,5.216
BRDI2,3M-4,leaf,2.988
SEPU8,4M-4,leaf,6.299
BRDI2,3M-1,leaf,6.14
BRDI2,3M-2,leaf,6.039
AVBA,3M-1,leaf,6.308
AROL,2M-5,leaf,0.196
VUMY,2M-5,leaf,0.395
VUMY,4M-4,leaf,0.344
AROL,4M-3,leaf,0.287
AROL,5M-1,leaf,0.487
AROL,3M-4,leaf,0.242
AROL,3M-2,leaf,0.131
AVBA,3M-1,repro,0.708
VUMY,3M-3,repro,0.766
AVBA,5M-4,repro,8
AVBA,5M-3,repro,1.267
BRDI2,3M-4,repro,10.238
BRDI2,4M-3,repro,1.537
SEPU8,5M-1,repro,1.641
BRDI2,3M-2,repro,16.564
VUMY,4M-4,repro,1.817
AVBA,5M-2,repro,1.614
AVBA,2M-5,repro,3.128
VUMY,5M-2,repro,5.549
BRDI2,3M-1,repro,7.474
SEPU8,4M-5,repro,5.013
BRDI2,2M-5,repro,3.811
AROL,5M-1,repro,0.059
AROL,3M-2,repro,0.022
AROL,2M-5,repro,0.289
VUMY,2M-5,repro,2.136
AROL,3M-4,repro,0.163
AROL,4M-3,repro,0.106
BRHO2,4M-1,leaf,7.427
BRDI2,5M-5,leaf,0.55
MURI2,3M-3,leaf,7.661
MURI2,4M-5,leaf,8.56
BRHO2,5M-3,leaf,3.698
VUMY,2M-2,leaf,6.021
BRHO2,3M-2,leaf,3.898
VUMY,2M-3,leaf,7.214
AVBA,4M-3,leaf,7.972
BRDI2,2M-2,leaf,2.437
BRHO2,3M-3,leaf,6.555
BRDI2,2M-4,leaf,5.426
VUMY,5M-5,leaf,2.618
VUMY,5M-3,leaf,9.919
MURI2,2M-2,leaf,7.282
VUMY,3M-2,leaf,9.436
BRDI2,4M-1,leaf,5.597
BRHO2,4M-2,leaf,4.091
BRHO2,2M-5,leaf,6.294
AVBA,4M-1,leaf,15.493
VUMY,4M-5,leaf,5.562
AVBA,3M-2,leaf,4.944
AVBA,5M-5,leaf,9.993
VUMY,4M-1,leaf,6.834
MURI2,5M-4,leaf,7.147
VUMY,5M-1,leaf,0.557
VUMY,3M-4,leaf,6.99
AVBA,3M-4,leaf,7.717
BRHO2,2M-4,leaf,1.703
MURI2,3M-1,leaf,4.085
BRDI2,5M-3,leaf,3.751
VUMY,2M-4,leaf,3.32
BRHO2,2M-1,leaf,0.838
VUMY,3M-2,root,7.076
BRDI2,4M-1,root,8.348
VUMY,5M-1,root,0.458
BRDI2,2M-2,root,2.508
VUMY,2M-3,root,6.34
VUMY,5M-5,root,3.995
VUMY,4M-5,root,1.844
BRHO2,2M-1,root,0.591
BRHO2,3M-3,root,7.026
BRHO2,4M-1,root,6.944
VUMY,2M-4,root,1.583
BRHO2,4M-2,root,6.582
BRHO2,5M-5,root,2.446
BRDI2,5M-3,root,5.734
MURI2,2M-2,root,10.589
MURI2,4M-5,root,14.87
MURI2,3M-1,root,4.097
BRHO2,5M-3,root,3.574
AVBA,4M-3,root,7.201
MURI2,5M-4,root,9.191
VUMY,2M-2,root,4.48
VUMY,3M-4,root,2.918
AVBA,5M-5,root,10.756
VUMY,4M-1,root,6.232
BRDI2,2M-4,root,5.472
BRHO2,3M-2,root,3.55
VUMY,5M-3,root,9.907
AVBA,4M-1,root,15.14
BRHO2,2M-4,root,1.015
AVBA,3M-4,root,6.764
AVBA,3M-2,root,4.323
MURI2,3M-3,root,9.725
BRHO2,2M-5,root,6.49
BRDI2,5M-5,root,0.534
MURI2,2M-2,stem,4.93
AVBA,4M-1,stem,26.668
VUMY,4M-1,stem,7.306
BRHO2,4M-1,stem,4.223
BRHO2,5M-3,stem,3.032
VUMY,4M-5,stem,1.002
BRHO2,2M-5,stem,1.689
BRDI2,4M-1,stem,16.409
BRDI2,2M-2,stem,5.505
BRDI2,2M-4,stem,10.098
AVBA,5M-5,stem,17.871
VUMY,2M-4,stem,2.359
BRHO2,2M-4,stem,0.214
VUMY,3M-2,stem,11.502
MURI2,3M-1,stem,2.942
MURI2,3M-3,stem,5.74
BRHO2,2M-1,stem,0.391
VUMY,5M-1,stem,2.423
VUMY,2M-3,stem,8.209
MURI2,4M-5,stem,5.947
AVBA,4M-3,stem,9.877
BRHO2,3M-2,stem,1.676
VUMY,3M-4,stem,2.931
BRDI2,5M-3,stem,12.51
MURI2,5M-4,stem,5.32
BRHO2,4M-2,stem,4.521
BRHO2,3M-3,stem,1.897
VUMY,5M-3,stem,4.786
AVBA,3M-2,stem,7.982
VUMY,5M-5,stem,8.44
VUMY,2M-2,stem,2.396
AVBA,3M-4,stem,10.392
BRDI2,5M-5,stem,1.943
BRDI2,2M-2,repro,7.576
BRDI2,4M-1,repro,9.904
VUMY,2M-3,repro,2.182
AVBA,5M-5,repro,6.358
AVBA,3M-2,repro,3.697
BRDI2,5M-5,repro,6.411
BRHO2,4M-1,repro,0.973
BRDI2,5M-3,repro,23.693
AVBA,4M-1,repro,7.283
VUMY,3M-2,repro,2.421
VUMY,4M-1,repro,0.671
BRHO2,4M-2,repro,1.863
AVBA,3M-4,repro,3.67
BRDI2,2M-4,repro,8.42
VUMY,5M-5,repro,9.08
VUMY,2M-4,repro,0.406
VUMY,3M-4,repro,0.071
VUMY,5M-1,repro,1.601
AVBA,4M-3,repro,4.447
BRHO2,5M-3,repro,0.071
BRHO2,3M-2,repro,0.468
VUMY,5M-4,leaf,3.629
AVBA,3M-3,leaf,9.585
VUMY,3M-1,leaf,10.249
AROL,5M-3,leaf,1.036
VUMY,4M-2,leaf,18.14
BRHO2,3M-1,leaf,4.795
VUMY,4M-3,leaf,8.019
BRHO2,4M-3,leaf,7.466
AVBA,4M-5,leaf,6.47
SEPU8,5M-5,leaf,16.283
AROL,2M-2,leaf,1.441
SEPU8,4M-1,leaf,15.283
AVBA,2M-4,leaf,10.127
SEPU8,3M-4,leaf,13.803
AVBA,4M-2,leaf,11.773
VUMY,3M-5,leaf,10.458
SEPU8,3M-3,leaf,12.031
AVBA,5M-1,leaf,12.502
SEPU8,4M-2,leaf,40.959
BRHO2,3M-4,leaf,5.449
BRHO2,2M-2,leaf,6.739
AROL,4M-5,leaf,1.738
BRHO2,3M-5,leaf,7.83
AROL,5M-4,leaf,0.585
BRHO2,5M-5,leaf,3.688
AROL,2M-1,leaf,0.657
BRHO2,3M-5,root,7.022
BRHO2,2M-2,root,8.342
VUMY,4M-3,root,6.552
AVBA,4M-5,root,5.991
BRHO2,4M-3,root,7.322
VUMY,5M-4,root,2.222
BRHO2,3M-1,root,2.809
VUMY,3M-5,root,9.985
AROL,2M-2,root,1.936
SEPU8,3M-4,root,17.294
SEPU8,4M-1,root,30.091
VUMY,3M-1,root,11.486
AROL,5M-3,root,0.758
AROL,2M-1,root,0.516
AROL,4M-5,root,1.239
AROL,5M-4,root,0.584
BRHO2,3M-4,root,4.031
SEPU8,3M-3,root,17.576
AVBA,3M-3,root,9.291
VUMY,4M-2,root,16.6
AVBA,2M-4,root,11.019
AVBA,5M-1,root,12.373
SEPU8,4M-2,root,51.016
SEPU8,5M-5,root,20.741
AVBA,4M-5,stem,8.064
BRHO2,3M-4,stem,0.811
VUMY,4M-2,stem,15.66
AROL,2M-2,stem,9.739
BRHO2,3M-5,stem,5.76
AVBA,4M-2,stem,21.601
AROL,2M-1,stem,2.311
VUMY,4M-3,stem,14.717
AROL,4M-5,stem,7.293
SEPU8,4M-2,stem,139.742
VUMY,3M-1,stem,6.388
BRHO2,5M-5,stem,1.039
SEPU8,3M-3,stem,24.107
VUMY,5M-4,stem,5.899
BRHO2,3M-1,stem,0.495
VUMY,3M-5,stem,8.504
SEPU8,5M-5,stem,38.731
AROL,5M-4,stem,2.897
AVBA,3M-3,stem,13.204
BRHO2,2M-2,stem,6.099
AROL,5M-3,stem,5.553
BRHO2,4M-3,stem,3.292
SEPU8,3M-4,stem,25.666
AVBA,5M-1,stem,23.182
SEPU8,4M-1,stem,40.41
